STT,Đối tượng,Phạm vi,Nội dung,Điều khoản,Liên kết khái niệm,Cơ quan Thẩm quyền Cấp/Giải quyết,Lộ trình/Thời điểm Áp dụng,Hậu quả Pháp lý/Hành chính,Keyphrase
11,"Hộ gia đình, cá nhân (có chất thải có khả năng tái chế)",Quyền (Miễn chi phí),"Không phải chi trả giá dịch vụ thu gom, vận chuyển và xử lý nếu Chất thải rắn có khả năng tái sử dụng, tái chế (thuộc 75 Khoản 1a) đã được phân loại riêng (kể cả Chất thải nguy hại).","Điều 79, Khoản 1c","Chất thải rắn, Chất thải nguy hại",Ủy ban nhân dân cấp tỉnh (quy định giá cụ thể),Chậm nhất ngày 31 tháng 12 năm 2024,N/A,"Miễn chi trả dịch vụ, Phân loại tái chế"
12,"Hộ gia đình, cá nhân",Nghĩa vụ tài chính,"Chi trả kinh phí dịch vụ thu gom, vận chuyển và xử lý Chất thải rắn dựa trên khối lượng hoặc thể tích chất thải đã được phân loại.","Điều 60, Khoản 1d, Điều 79, Khoản 1b",Chất thải rắn sinh hoạt,Ủy ban nhân dân cấp tỉnh (quy định giá cụ thể),Chậm nhất ngày 31 tháng 12 năm 2024,Phải chi trả giá dịch vụ như Chất thải rắn sinh hoạt khác (nếu không phân loại đúng),Chi trả theo khối lượng/thể tích
13,"Tổ chức, cá nhân sản xuất, nhập khẩu sản phẩm, bao bì",Nghĩa vụ,Phải thực hiện tái chế theo tỷ lệ và quy cách tái chế bắt buộc.,"Điều 54, Khoản 1","Hoạt động bảo vệ môi trường (Tái chế), Quỹ Bảo vệ môi trường Việt Nam, quỹ bảo vệ môi trường cấp tỉnh",Bộ Tài nguyên và Môi trường (tiếp nhận đăng ký kế hoạch),Theo lộ trình do Chính phủ quy định,Phải Đóng góp tài chính vào Quỹ Bảo vệ môi trường Việt Nam nếu không tự tổ chức tái chế,"Tái chế bắt buộc, Trách nhiệm mở rộng nhà sản xuất"
14,Chủ nguồn thải chất thải nguy hại (Implicitly linked via Art 83),Nghĩa vụ,"Phân định, phân loại, thu gom, lưu giữ riêng Chất thải nguy hại và không để lẫn với chất thải không nguy hại.","Điều 83, Khoản 1b","Chất thải nguy hại, Chất thải ",Chủ nguồn thải/Cơ sở,Liên tục trong quá trình hoạt động,Phải quản lý toàn bộ Chất thải như Chất thải nguy hại nếu không phân loại,"Phân loại Chất thải nguy hại, Lưu giữ riêng"
15,Cơ sở nhập khẩu Phế liệu,Nghĩa vụ tài chính,Ký quỹ bảo vệ môi trường (Implicitly linked via Art 137) trước thời điểm Phế liệu được dỡ xuống cảng (đối với nhập khẩu qua đường biển).,"Điều 137, Khoản 2c, Điều 71, Khoản 2c","Phế liệu, Ký quỹ bảo vệ môi trường, Quỹ Bảo vệ môi trường Việt Nam, quỹ bảo vệ môi trường cấp tỉnh ",Quỹ Bảo vệ môi trường Việt Nam/cấp tỉnh hoặc tổ chức tín dụng,Trước thời điểm dỡ xuống cảng,Không được thông quan lô hàng,"Ký quỹ, Nhập khẩu Phế liệu"
16,Cơ sở phát thải Khí nhà kính (GHG) (thuộc danh mục phải kiểm kê),Nghĩa vụ,"Tổ chức thực hiện kiểm kê Khí nhà kính (GHG), xây dựng và duy trì hệ thống cơ sở dữ liệu phát thải.","Điều 91, Khoản 7a","Khí nhà kính (GHG),  Giảm nhẹ phát thải khí nhà kính ",Bộ Tài nguyên và Môi trường,Định kỳ 02 năm một lần (gửi báo cáo trước ngày 01 tháng 12),Bị kiểm tra việc tuân thủ quy định về kiểm kê Khí nhà kính,"Kiểm kê Khí nhà kính, Phát thải KNK"
17,Cơ sở phát thải Khí nhà kính (GHG) (thuộc danh mục),Quyền,"Được phân bổ Hạn ngạch phát thải khí nhà kính và có quyền trao đổi, mua bán trên Thị trường các-bon trong nước.","Điều 139, Khoản 2, 5","Hạn ngạch phát thải khí nhà kính, Tín chỉ các-bon, Thị trường các-bon trong nước ",Bộ Tài nguyên và Môi trường (tổ chức phân bổ và vận hành thị trường),Theo lộ trình Thị trường các-bon trong nước,Chỉ được phát thải trong Hạn ngạch đã được phân bổ,"Hạn ngạch KNK, Trao đổi các-bon"
18,"Chủ dự án đầu tư, cơ sở",Nghĩa vụ,"Thực hiện yêu cầu về kế hoạch, biện pháp, trang thiết bị phòng ngừa, Ứng phó sự cố môi trường.","Điều 122, Khoản 1a","Sự cố môi trường, Hoạt động bảo vệ môi trường",Cơ quan nhà nước có thẩm quyền,Thường xuyên (kiểm tra thường xuyên),Bị cấm thực hiện dự án (nếu không có biện pháp phòng ngừa/ứng phó),"Phòng ngừa Sự cố, Trang thiết bị ứng phó"
19,"Chủ dự án đầu tư, cơ sở (khi Sự cố xảy ra)",Trách nhiệm,"Tổ chức Ứng phó sự cố môi trường trong phạm vi cơ sở; trường hợp vượt quá khả năng ứng phó, phải kịp thời báo cáo.","Điều 125, Khoản 4a",Sự cố môi trường,Ủy ban nhân dân cấp xã/Ban chỉ huy cấp huyện,Ngay lập tức khi Sự cố xảy ra,"Chịu chi trả kịp thời, toàn bộ các chi phí tổ chức Ứng phó sự cố môi trường","Ứng phó tại chỗ, Báo cáo kịp thời"
20,"Tổ chức, cá nhân, Cộng đồng dân cư có khả năng bị ảnh hưởng từ Sự cố",Quyền,Được thông báo về nguy cơ Sự cố môi trường và biện pháp ứng phó; được tham gia và giám sát hoạt động ứng phó.,"Điều 129, Khoản 1","Cộng đồng dân cư, Sự cố môi trường",Chủ dự án/Cơ quan chỉ đạo Ứng phó sự cố môi trường ,Tại thời điểm có nguy cơ Sự cố xảy ra,N/A,"Thông báo nguy cơ Sự cố, Giám sát ứng phó"
21,"Chủ dự án đầu tư, cơ sở gây ra Sự cố môi trường",Trách nhiệm,Thực hiện Phục hồi môi trường sau sự cố môi trường (Implicitly linked via Art 126) trong phạm vi cơ sở.,"Điều 126, Khoản 1","Sự cố môi trường, Phục hồi môi trường","Ủy ban nhân dân cấp xã (kiểm tra, giám sát)",Ngay sau khi kết thúc giai đoạn tổ chức Ứng phó sự cố môi trường,Chịu toàn bộ chi phí Phục hồi môi trường,"Phục hồi môi trường, Trong phạm vi cơ sở"
22,"Hộ gia đình, cá nhân (ở đô thị/khu dân cư tập trung, khi xây mới/cải tạo)",Nghĩa vụ,"Phải xây lắp công trình, thiết bị xử lý nước thải tại chỗ đáp ứng yêu cầu về Hoạt động bảo vệ môi trường.","Điều 60, Khoản 1e",Quy chuẩn kỹ thuật môi trường ,Cơ quan thẩm định thiết kế xây dựng/cấp giấy phép xây dựng,Tại thời điểm xây dựng mới hoặc cải tạo nhà ở riêng lẻ,Bị từ chối cấp giấy phép xây dựng (nếu không đáp ứng yêu cầu về xử lý nước thải),"Xử lý nước thải tại chỗ, Nhà ở riêng lẻ"
23,"Hộ gia đình, cá nhân",Nghĩa vụ,"Không phát tán Khí thải (Implicitly linked via Art 88), gây Tiếng ồn, độ rung (Implicitly linked via Art 89) và tác động khác gây Ô nhiễm môi trường, ảnh hưởng xấu đến Cộng đồng dân cư.","Điều 60, Khoản 1c","Ô nhiễm môi trường, Quy chuẩn kỹ thuật môi trường",Cơ quan quản lý nhà nước,Thường xuyên,Bị xử phạt vi phạm hành chính (VPHC),"Kiểm soát tiếng ồn/độ rung, Không phát tán khí thải"
24,Đại diện cộng đồng dân cư,Quyền,"Yêu cầu Chủ dự án đầu tư, cơ sở cung cấp Thông tin về môi trường (Implicitly linked via Art 114); tổ chức tìm hiểu thực tế.","Điều 159, Khoản 1","Cộng đồng dân cư, Thông tin về môi trường",Chủ dự án đầu tư /Cơ quan quản lý nhà nước,Thông qua đối thoại trực tiếp hoặc bằng văn bản,Chủ dự án đầu tư/cơ sở phải thực hiện yêu cầu phù hợp với quy định,"Cung cấp thông tin, Tìm hiểu thực tế"
25,Đại diện cộng đồng dân cư,Quyền,"Yêu cầu cơ quan quản lý nhà nước có liên quan cung cấp kết quả thanh tra, kiểm tra, xử lý đối với dự án đầu tư, cơ sở đó.","Điều 159, Khoản 2","Cộng đồng dân cư, Kết quả thanh tra, kiểm tra, xử lý",Cơ quan quản lý nhà nước có liên quan,"Khi có kết quả thanh tra, kiểm tra",N/A,Yêu cầu kết quả thanh tra
26,"Tổ chức, hộ gia đình, cá nhân hoạt động sản xuất, kinh doanh, dịch vụ",Nghĩa vụ,"Có trách nhiệm giảm thiểu và xử lý bụi, khí thải tác động xấu đến Môi trường (Thành phần môi trường).","Điều 12, Khoản 1","Môi trường, Thành phần môi trường, Kiểm soát ô nhiễm",Cơ quan quản lý nhà nước,Thường xuyên,Bị cấm xả khí thải chưa được xử lý đạt Quy chuẩn kỹ thuật môi trường ra Môi trường,"Giảm thiểu bụi, khí thải, Xử lý theo quy định"
27,"Chủ dự án đầu tư, cơ sở (lưu lượng xả nước thải trung bình/lớn)",Nghĩa vụ,"Phải thực hiện Quan trắc môi trường nước thải tự động, liên tục và truyền dữ liệu đến cơ quan chuyên môn về BVMT cấp tỉnh.","Điều 111, Khoản 1, 3","Quan trắc môi trường, Quy chuẩn kỹ thuật môi trường",Cơ quan chuyên môn về Hoạt động bảo vệ môi trường cấp tỉnh,Theo lộ trình do Chính phủ quy định,Bị phát hiện thông số giám sát vượt Quy chuẩn kỹ thuật môi trường,"Quan trắc tự động liên tục, Truyền dữ liệu"
28,"Cơ sở sản xuất, kinh doanh, dịch vụ và kho tàng (có nguy cơ)",Nghĩa vụ,"Phải có Khoảng cách an toàn về Môi trường đối với Cộng đồng dân cư (khi có chất dễ cháy, độc hại, nguy cơ phát tán bụi/mùi/tiếng ồn).","Điều 53, Khoản 2","Cộng đồng dân cư, Ô nhiễm môi trường, Môi trường",Ủy ban nhân dân cấp tỉnh (ban hành lộ trình),Theo lộ trình do UBND cấp tỉnh ban hành,Bị buộc di dời (nếu đang hoạt động mà không đáp ứng),"Khoảng cách an toàn, Khu dân cư"
29,"Tổ chức, cá nhân sử dụng Dịch vụ hệ sinh thái tự nhiên",Nghĩa vụ tài chính,"Phải Chi trả dịch vụ hệ sinh thái tự nhiên (đối với mục đích kinh doanh du lịch, nuôi trồng thủy sản, hấp thụ các-bon).","Điều 138, Khoản 3a, 4","Chi trả dịch vụ hệ sinh thái tự nhiên, Vốn tự nhiên, Khí nhà kính","Tổ chức, cá nhân cung ứng giá trị Môi trường ",Tại thời điểm sử dụng dịch vụ,N/A,Chi trả dịch vụ hệ sinh thái 
30,"Chủ dự án đầu tư, cơ sở thuộc loại hình có nguy cơ gây Ô nhiễm môi trường",Nghĩa vụ,"Phải nghiên cứu, áp dụng Kỹ thuật hiện có tốt nhất theo lộ trình do Chính phủ quy định.","Điều 105, Khoản 1","Kỹ thuật hiện có tốt nhất, Kiểm soát ô nhiễm, Ô nhiễm môi trường",Chính phủ/Bộ Tài nguyên và Môi trường (quy định lộ trình/hướng dẫn kỹ thuật),Theo lộ trình do Chính phủ quy định,N/A,Áp dụng Kỹ thuật hiện có tốt nhất 
31,"Bệnh viện, cơ sở y tế",Nghĩa vụ,"Phải thu gom, xử lý nước thải đáp ứng yêu cầu; phân loại Chất thải rắn; ưu tiên công nghệ không đốt đối với Chất thải y tế lây nhiễm (thuộc Chất thải nguy hại).","Điều 62, Khoản 1","Chất thải nguy hại, Quy chuẩn kỹ thuật môi trường","Cơ quan quản lý nhà nước về y tế/môi trường,",Liên tục trong quá trình hoạt động,Nếu Chất thải rắn sinh hoạt lẫn vào Chất thải y tế lây nhiễm thì phải quản lý như Chất thải y tế lây nhiễm,"Xử lý nước thải y tế, Công nghệ không đốt"
32,"Chủ đầu tư xây dựng và kinh doanh hạ tầng khu sản xuất, kinh doanh, dịch vụ tập trung/cụm công nghiệp",Nghĩa vụ,"Yêu cầu cơ sở chấm dứt việc xả nước thải sau xử lý vào hệ thống thu gom, thoát nước mưa.","Điều 51, Khoản 4đ; Điều 52, Khoản 3đ","Khu sản xuất, kinh doanh, dịch vụ tập trung, Hạ tầng kỹ thuật bảo vệ môi trường",Chủ đầu tư/Ban quản lý khu công nghiệp,"Trong thời hạn 24 tháng kể từ ngày Luật có hiệu lực thi hành (01/01/2022),",Bị xử lý vi phạm hành chính (VPHC),"Chấm dứt xả thải vào nước mưa, 24 tháng"
33,"Tổ chức, cá nhân thăm dò, khai thác, chế biến khoáng sản",Nghĩa vụ,"Phải có phương án cải tạo, Phục hồi môi trường (Implicitly linked via Art 126) và Ký quỹ bảo vệ môi trường.","Điều 67, Khoản 1","Ký quỹ bảo vệ môi trường, Môi trường, Phục hồi môi trường",Cơ quan cấp phép khai thác khoáng sản,Trước khi tiến hành khai thác khoáng sản,Bị từ chối cấp giấy phép khai thác khoáng sản,"Cải tạo Phục hồi môi trường, Ký quỹ"
34,"Chủ dự án đầu tư khu đô thị, Cộng đồng dân cư tập trung",Nghĩa vụ,"Đảm bảo khu vực có diện tích cây xanh, mặt nước (Thành phần môi trường), không gian thoáng theo quy hoạch.","Điều 57, Khoản 2c","Thành phần môi trường, Quy hoạch bảo vệ môi trường quốc gia",Cơ quan thẩm định thiết kế/quy hoạch,Khi lập và thực hiện quy hoạch/dự án đầu tư,Bị từ chối thẩm định/cấp phép,"Diện tích cây xanh, mặt nước"
35,"Tổ chức chính trị - xã hội, tổ chức xã hội - nghề nghiệp",Quyền,"Tham gia hoạt động kiểm tra về Hoạt động bảo vệ môi trường tại dự án đầu tư, cơ sở có liên quan đến chức năng, nhiệm vụ của mình.","Điều 158, Khoản 2d","Hoạt động bảo vệ môi trường, Kiểm soát ô nhiễm",Cơ quan quản lý nhà nước về Môi trường các cấp,Khi có hoạt động kiểm tra,N/A,Tham gia kiểm tra Môi trường
36,"Cơ quan, tổ chức, hộ gia đình, cá nhân sử dụng đất (gây ô nhiễm)",Trách nhiệm,"Xử lý, cải tạo và Phục hồi môi trường đất (Implicitly linked via Art 18) đối với Khu vực ô nhiễm môi trường đất do mình gây ra.","Điều 15, Khoản 2","Khu vực ô nhiễm môi trường đất, Suy thoái môi trường, Ô nhiễm môi trường",UBND cấp tỉnh/ Bộ Tài nguyên và Môi trường (quản lý),Khi gây ô nhiễm,N/A,Xử lý Khu vực ô nhiễm môi trường đất
37,Cơ sở phát thải Khí nhà kính (GHG) thuộc danh mục phải kiểm kê,Nghĩa vụ,"Xây dựng, thực hiện kế hoạch Giảm nhẹ phát thải khí nhà kính hằng năm.","Điều 91, Khoản 7b","Khí nhà kính, Giảm nhẹ phát thải khí nhà kính, Ứng phó với biến đổi khí hậ",Chủ cơ sở/Bộ Tài nguyên và Môi trường (hướng dẫn),Hằng năm,Bị kiểm tra việc tuân thủ quy định về kiểm kê Khí nhà kính,Kế hoạch Giảm nhẹ KNK
38,"Tổ chức, cá nhân sản xuất, nhập khẩu sản phẩm, bao bì",Nghĩa vụ tài chính,Lựa chọn Đóng góp tài chính vào Quỹ Bảo vệ môi trường Việt Nam để hỗ trợ tái chế.,"Điều 54, Khoản 2b","Quỹ Bảo vệ môi trường Việt Nam, quỹ bảo vệ môi trường cấp tỉnh",Quỹ Bảo vệ môi trường Việt Nam ,Theo lộ trình do Chính phủ quy định,N/A,Đóng góp tài chính Quỹ BVMT
39,"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài tại Việt Nam",Quyền/Khuyến khích,"Khuyến khích tài trợ, cho vay ưu đãi đối với dự án Tín dụng xanh (Ứng phó với biến đổi khí hậu, Quản lý chất thải).","Điều 149, Khoản 3","Tín dụng xanh, Ứng phó với biến đổi khí hậu",Ngân hàng Nhà nước (hướng dẫn quản lý rủi ro),Theo lộ trình Chính phủ ban hành,N/A,Cho vay ưu đãi Tín dụng xanh
40,"Chính phủ, chính quyền địa phương, doanh nghiệp",Quyền,Phát hành Trái phiếu xanh để huy động vốn cho Hoạt động bảo vệ môi trường và dự án đầu tư mang lại lợi ích về Môi trường.,"Điều 150, Khoản 1","Trái phiếu xanh, Hoạt động bảo vệ môi trường, Môi trường",Chủ thể phát hành,Liên tục,Phải cung cấp thông tin Đánh giá tác động môi trường và Giấy phép môi trường cho nhà đầu tư,"Phát hành Trái phiếu xanh, Huy động vốn BVMT"
41,"Cơ sở sản xuất, kinh doanh, dịch vụ",Nghĩa vụ,"Thiết lập hệ thống quản lý và thực hiện biện pháp để giảm khai thác Vốn tự nhiên, giảm Chất thải, tăng tái sử dụng/tái chế để thực hiện Kinh tế tuần hoàn.","Điều 142, Khoản 3","Kinh tế tuần hoàn, Vốn tự nhiên, Chất thải",Cơ sở sản xuất,"Từ giai đoạn xây dựng dự án đến sản xuất, phân phối",N/A,"Thực hiện Kinh tế tuần hoàn, Giảm khai thác Vốn tự nhiên"
42,"Cơ sở sản xuất, kinh doanh, dịch vụ",Quyền/Khuyến khích,"Khuyến khích tự thực hiện Kiểm toán môi trường (đánh giá hiệu quả quản lý Môi trường, Kiểm soát ô nhiễm).","Điều 74, Khoản 3","Kiểm toán môi trường, Kiểm soát ô nhiễm, Môi trường",Bộ Tài nguyên và Môi trường (hướng dẫn kỹ thuật),"Tự nguyện, không quy định",N/A,Khuyến khích Kiểm toán môi trường
43,"Tổ chức, cá nhân nhập khẩu Phế liệu từ nước ngoài làm nguyên liệu sản xuất",Nghĩa vụ,"Phải có Giấy phép môi trường (kèm theo yêu cầu về kho, công nghệ tái chế, xử lý tạp chất).","Điều 71, Khoản 2b","Phế liệu, Giấy phép môi trường",Cơ quan cấp Giấy phép môi trường ,Trước khi nhập khẩu,Không được nhập khẩu,Giấy phép môi trường cho Phế liệu
44,Ủy ban nhân dân cấp tỉnh,Nghĩa vụ,Ban hành Quy chuẩn kỹ thuật môi trường về Chất thải của địa phương nghiêm ngặt hơn (nếu chất lượng Môi trường xung quanh không bảo đảm mục tiêu).,"Điều 102, Khoản 5","Quy chuẩn kỹ thuật môi trường, Chất thải, Môi trường",UBND cấp tỉnh,Tối đa 02 năm kể từ ngày ban hành QCKTMT quốc gia,N/A,QCKTMT địa phương nghiêm ngặt hơn
45,"Cơ sở sản xuất thiết bị, sản phẩm có chứa/sử dụng chất làm suy giảm Tầng ô-dôn",Nghĩa vụ,"Phải xây dựng lộ trình thay thế, loại bỏ chất làm suy giảm Tầng ô-dôn, chất gây Hiệu ứng nhà kính.","Điều 92, Khoản 5","Tầng ô-dôn, Khí nhà kính, Hiệu ứng nhà kính"," Bộ Tài nguyên và Môi trường (quản lý, kiểm soát)",Theo lộ trình,"Bị nghiêm cấm sản xuất, nhập khẩu, tiêu thụ (Điều 6, Khoản 11)",Lộ trình thay thế chất làm suy giảm Tầng ô-dôn
46,"Chủ dự án đầu tư, cơ sở",Nghĩa vụ,"Phòng ngừa Sự cố chất thải do rò rỉ, tràn đổ, phát tán Chất thải.","Điều 121, Khoản 6","Sự cố chất thải, Chất thải, Sự cố môi trường",Chính phủ (quy định chi tiết),Liên tục,Gây Ô nhiễm môi trường nghiêm trọng,Phòng ngừa Sự cố chất thải
47,"Tổ chức, cá nhân",Quyền lợi,"Sản phẩm, dịch vụ thân thiện môi trường được chứng nhận Nhãn sinh thái Việt Nam được hưởng ưu đãi, hỗ trợ.","Điều 145, Khoản 1; Điều 141, Khoản 1a","Sản phẩm, dịch vụ thân thiện môi trường, Nhãn sinh thái Việt Nam",Cơ quan có thẩm quyền chứng nhận Nhãn sinh thái Việt Nam ,Khi được chứng nhận,N/A,Ưu đãi Sản phẩm thân thiện môi trường
48,"Cơ quan, tổ chức (dự án/nhiệm vụ sử dụng ngân sách nhà nước)",Nghĩa vụ/Ưu tiên,Ưu tiên thực hiện Mua sắm xanh đối với dự án/nhiệm vụ có sử dụng ngân sách nhà nước.,"Điều 146, Khoản 2","Mua sắm xanh, Sản phẩm, dịch vụ thân thiện môi trường",Chính phủ (quy định chi tiết),Khi thực hiện mua sắm/đấu thầu,N/A,Ưu tiên Mua sắm xanh
49,"Nhà nước/Bộ, cơ quan ngang Bộ, UBND cấp tỉnh",Nghĩa vụ/Ưu tiên,"Ưu tiên đầu tư duy trì, phát triển Vốn tự nhiên có khả năng tái tạo, cung cấp Dịch vụ hệ sinh thái tự nhiên.","Điều 147, Khoản 2b, 4","Vốn tự nhiên, Dịch vụ hệ sinh thái tự nhiên","Bộ Tài nguyên và Môi trường (kiểm kê, đánh giá)","Trong chiến lược, quy hoạch, kế hoạch",N/A,Ưu tiên phát triển Vốn tự nhiên
50,"Cơ sở phát thải Khí nhà kính (GHG) tham gia cơ chế trao đổi, bù trừ tín chỉ các-bon",Quyền,Được phép trao đổi Tín chỉ các-bon trên Thị trường các-bon trong nước.,"Điều 139, Khoản 6","Tín chỉ các-bon, Thị trường các-bon trong nước",Bộ Tài nguyên và Môi trường (tổ chức vận hành),Theo lộ trình Thị trường các-bon trong nước,N/A,Trao đổi Tín chỉ các-bon
51,"Tổ chức, cá nhân phát triển Công nghiệp môi trường",Quyền lợi,"Được Nhà nước đầu tư và có chính sách hỗ trợ phát triển Công nghiệp môi trường (cung cấp công nghệ, thiết bị, sản phẩm phục vụ BVMT).","Điều 143, Khoản 2","Công nghiệp môi trường, Hoạt động bảo vệ môi trường",Nhà nước/Chính phủ,Theo lộ trình mở cửa thị trường,N/A,Hỗ trợ Công nghiệp môi trường
52,"Tổ chức, cá nhân cung cấp Dịch vụ môi trường",Quyền lợi/Khuyến khích,"Khuyến khích tham gia cung cấp Dịch vụ môi trường (thu gom, xử lý Chất thải, Quan trắc môi trường, cải tạo Môi trường).","Điều 144, Khoản 3","Dịch vụ môi trường, Chất thải, Quan trắc môi trường",Nhà nước (có chính sách phát triển thị trường),Liên tục,N/A,Khuyến khích cung cấp Dịch vụ môi trường
53,Chủ dự án đầu tư thuộc trường hợp dự án đầu tư công khẩn cấp,Quyền lợi (Miễn trừ),Được miễn Giấy phép môi trường.,"Điều 39, Khoản 3","Giấy phép môi trường, Chủ dự án đầu tư ",Cơ quan cấp phép,Khi quyết định đầu tư,N/A,Miễn GPMT (Khẩn cấp)
54,Cơ quan nhà nước (Chính sách),Nghĩa vụ,Thực hiện sàng lọc dự án đầu tư theo tiêu chí về Môi trường; áp dụng công cụ quản lý Môi trường phù hợp theo từng giai đoạn.,"Điều 5, Khoản 10","Môi trường, Đánh giá sơ bộ tác động môi trường, Đánh giá tác động môi trường",Nhà nước,Giai đoạn chiến lược/quy hoạch/dự án,N/A,Sàng lọc dự án theo tiêu chí Môi trường
