STT,Chương,Khái niệm,Điều khoản ,Nội dung ,Keyphrase 
11,Chương I,Tiêu chuẩn môi trường,"Điều 3, Khoản 11","là quy định tự nguyện áp dụng mức giới hạn của thông số về chất lượng môi trường, hàm lượng của chất ô nhiễm có trong chất thải, các yêu cầu kỹ thuật và quản lý được cơ quan nhà nước có thẩm quyền hoặc tổ chức công bố theo quy định của pháp luật về tiêu chuẩn và quy chuẩn kỹ thuật.",Quy định tự nguyện áp dụng mức giới hạn thông số.
12,Chương I,Ô nhiễm môi trường,"Điều 3, Khoản 12","là sự biến đổi tính chất vật lý, hóa học, sinh học của thành phần môi trường không phù hợp với quy chuẩn kỹ thuật môi trường, tiêu chuẩn môi trường gây ảnh hưởng xấu đến sức khỏe con người, sinh vật và tự nhiên.","Biến đổi tính chất không phù hợp quy chuẩn/tiêu chuẩn, gây ảnh hưởng xấu."
13,Chương I,Suy thoái môi trường,"Điều 3, Khoản 13","là sự suy giảm về chất lượng, số lượng của thành phần môi trường, gây ảnh hưởng xấu đến sức khỏe con người, sinh vật và tự nhiên.","Suy giảm chất lượng, số lượng thành phần môi trường, gây ảnh hưởng xấu."
14,Chương I,Sự cố môi trường,"Điều 3, Khoản 14","là sự cố xảy ra trong quá trình hoạt động của con người hoặc do biến đổi bất thường của tự nhiên, gây ô nhiễm, suy thoái môi trường nghiêm trọng.","Sự cố gây ô nhiễm, suy thoái môi trường nghiêm trọng."
15,Chương I,Chất ô nhiễm,"Điều 3, Khoản 15","là chất hóa học hoặc tác nhân vật lý, sinh học mà khi xuất hiện trong môi trường vượt mức cho phép sẽ gây ô nhiễm môi trường.",Chất/tác nhân vượt mức cho phép gây ô nhiễm.
16,Chương I,Chất ô nhiễm khó phân hủy,"Điều 3, Khoản 16","là chất ô nhiễm có độc tính cao, khó phân hủy, có khả năng tích lũy sinh học và lan truyền trong môi trường, tác động xấu đến môi trường và sức khỏe con người.","Độc tính cao, khó phân hủy, tích lũy sinh học, lan truyền."
17,Chương I,Chất ô nhiễm hữu cơ khó phân hủy,"Điều 3, Khoản 17",là chất ô nhiễm khó phân hủy được quy định trong Công ước Stockholm về các chất ô nhiễm hữu cơ khó phân hủy (sau đây gọi là Công ước Stockholm).,Chất ô nhiễm khó phân hủy theo Công ước Stockholm.
18,Chương I,Chất thải,"Điều 3, Khoản 18","là vật chất ở thể rắn, lỏng, khí hoặc ở dạng khác được thải ra từ hoạt động sản xuất, kinh doanh, dịch vụ, sinh hoạt hoặc hoạt động khác.","Vật chất thải ra từ hoạt động sản xuất, sinh hoạt (rắn, lỏng, khí)."
19,Chương I,Chất thải rắn,"Điều 3, Khoản 19",là chất thải ở thể rắn hoặc bùn thải.,Chất thải ở thể rắn hoặc bùn thải.
20,Chương I,Chất thải nguy hại,"Điều 3, Khoản 20","là chất thải chứa yếu tố độc hại, phóng xạ, lây nhiễm, dễ cháy, dễ nổ, gây ăn mòn, gây nhiễm độc hoặc có đặc tính nguy hại khác.","Chứa yếu tố độc hại, phóng xạ, lây nhiễm, dễ cháy, dễ nổ."
21,Chương I,Đồng xử lý chất thải,"Điều 3, Khoản 21","là việc kết hợp một quá trình sản xuất sẵn có để tái chế, xử lý, thu hồi năng lượng từ chất thải, trong đó chất thải được sử dụng làm nguyên liệu, vật liệu, nhiên liệu thay thế hoặc được xử lý.",Kết hợp quá trình sản xuất sẵn có để tái chế/xử lý/thu hồi năng lượng.
22,Chương I,Kiểm soát ô nhiễm,"Điều 3, Khoản 22","là quá trình phòng ngừa, phát hiện, ngăn chặn và xử lý ô nhiễm.","Phòng ngừa, phát hiện, ngăn chặn và xử lý ô nhiễm."
23,Chương I,Khả năng chịu tải của môi trường,"Điều 3, Khoản 23",là giới hạn chịu đựng của môi trường đối với các nhân tố tác động để môi trường có thể tự phục hồi.,Giới hạn chịu đựng của môi trường để tự phục hồi.
24,Chương I,Hạ tầng kỹ thuật bảo vệ môi trường,"Điều 3, Khoản 24","bao gồm hệ thống thu gom, lưu giữ, vận chuyển, xử lý chất thải, quan trắc môi trường và công trình bảo vệ môi trường khác.","Hệ thống thu gom, xử lý chất thải, quan trắc và công trình BVMT khác."
25,Chương I,Quan trắc môi trường,"Điều 3, Khoản 25","là việc theo dõi liên tục, định kỳ, đột xuất, có hệ thống về thành phần môi trường, các nhân tố tác động đến môi trường, chất thải nhằm cung cấp thông tin đánh giá hiện trạng môi trường, diễn biến chất lượng môi trường và tác động xấu đến môi trường.","Theo dõi liên tục, định kỳ, đột xuất thành phần môi trường/chất thải."
26,Chương I,Vận hành thử nghiệm công trình xử lý chất thải,"Điều 3, Khoản 26","là việc vận hành nhằm kiểm tra, đánh giá hiệu quả và sự phù hợp với yêu cầu về bảo vệ môi trường đối với công trình xử lý chất thải của chủ dự án đầu tư, cơ sở, khu sản xuất, kinh doanh, dịch vụ tập trung, cụm công nghiệp.","Vận hành kiểm tra, đánh giá hiệu quả công trình xử lý chất thải."
27,Chương I,Phế liệu,"Điều 3, Khoản 27","là vật liệu được thu hồi, phân loại, lựa chọn từ những vật liệu, sản phẩm loại ra trong quá trình hoạt động sản xuất, kinh doanh, dịch vụ hoặc tiêu dùng để sử dụng làm nguyên liệu cho một quá trình sản xuất khác.",Vật liệu thu hồi để sử dụng làm nguyên liệu cho sản xuất khác.
28,Chương I,Cộng đồng dân cư,"Điều 3, Khoản 28","là cộng đồng người sinh sống trên cùng địa bàn thôn, ấp, bản, làng, buôn, bon, phum, sóc, tổ dân phố hoặc điểm dân cư tương tự trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.","Cộng đồng người sinh sống trên cùng địa bàn (thôn, ấp, tổ dân phố, v.v.)."
29,Chương I,Khí nhà kính (GHG),"Điều 3, Khoản 29",là loại khí trong khí quyển gây hiệu ứng nhà kính.,Khí gây hiệu ứng nhà kính.
30,Chương I,Hiệu ứng nhà kính,"Điều 3, Khoản 30","là hiện tượng năng lượng bức xạ của Mặt Trời được hấp thụ trong khí quyển, chuyển hóa thành nhiệt lượng gây hiện tượng nóng lên toàn cầu.",Năng lượng bức xạ chuyển hóa thành nhiệt lượng gây nóng lên toàn cầu.
31,Chương I,Giảm nhẹ phát thải khí nhà kính,"Điều 3, Khoản 31","là hoạt động nhằm giảm nhẹ mức độ hoặc cường độ phát thải khí nhà kính, tăng cường hấp thụ khí nhà kính.","Giảm cường độ phát thải, tăng cường hấp thụ KNK."
32,Chương I,Ứng phó với biến đổi khí hậu,"Điều 3, Khoản 32",là hoạt động của con người nhằm thích ứng với biến đổi khí hậu và giảm nhẹ phát thải khí nhà kính.,Hoạt động nhằm thích ứng và giảm nhẹ phát thải KNK.
33,Chương I,Hạn ngạch phát thải khí nhà kính,"Điều 3, Khoản 33","là lượng khí nhà kính của quốc gia, tổ chức, cá nhân được phép phát thải trong một khoảng thời gian xác định, được tính theo tấn khí carbon dioxide (CO2​) hoặc tấn khí carbon dioxide (CO2​) tương đương.",Lượng KNK được phép phát thải theo tấn CO2​ tương đương.
34,Chương I,Tầng ô-dôn,"Điều 3, Khoản 34","là một lớp trong tầng bình lưu của Trái Đất, có tác dụng bảo vệ Trái Đất khỏi các bức xạ cực tím có hại từ Mặt Trời.","Lớp trong tầng bình lưu, bảo vệ khỏi bức xạ cực tím."
35,Chương I,Tín chỉ các-bon,"Điều 3, Khoản 35",là chứng nhận có thể giao dịch thương mại và thể hiện quyền phát thải một tấn khí carbon dioxide (CO2​) hoặc một tấn khí carbon dioxide (CO2​) tương đương.,"Chứng nhận giao dịch thương mại, thể hiện quyền phát thải CO2​."
36,Chương I,Kỹ thuật hiện có tốt nhất,"Điều 3, Khoản 36","là giải pháp kỹ thuật tốt nhất được lựa chọn bảo đảm phù hợp với thực tế, hiệu quả trong phòng ngừa, kiểm soát ô nhiễm, giảm thiểu tác động xấu đến môi trường.","Giải pháp kỹ thuật tốt nhất để phòng ngừa, kiểm soát ô nhiễm."
37,Chương I,"Khu sản xuất, kinh doanh, dịch vụ tập trung","Điều 3, Khoản 37","gồm khu công nghiệp, khu chế xuất, khu công nghệ cao và khu chức năng sản xuất công nghiệp của khu kinh tế.","Khu công nghiệp, khu chế xuất, khu công nghệ cao, khu chức năng sản xuất công nghiệp."
38,Chương I,Chủ dự án đầu tư,"Điều 3, Khoản 38","là chủ đầu tư hoặc nhà đầu tư của dự án theo quy định của pháp luật về đầu tư, đầu tư công, đầu tư theo phương thức đối tác công tư, xây dựng.",Chủ đầu tư hoặc nhà đầu tư của dự án.
39,Chương II,"	
Khu vực ô nhiễm môi trường đất","Điều 16, Khoản 1","là khu vực đất có chất ô nhiễm vượt mức cho phép theo quy chuẩn kỹ thuật môi trường, gây ảnh hưởng xấu đến môi trường và sức khỏe cộng đồng.",Đất có chất ô nhiễm vượt mức cho phép; Ảnh hưởng xấu đến sức khỏe
40,Chương VI,Kiểm toán môi trường,"Điều 74, Khoản 1","là việc xem xét, đánh giá có hệ thống, toàn diện hiệu quả quản lý môi trường, kiểm soát ô nhiễm của cơ sở sản xuất, kinh doanh, dịch vụ.","Đánh giá có hệ thống, toàn diện; Hiệu quả quản lý môi trường"
41,Chương X,Sự cố chất thải,"Điều 121, Khoản 6","do rò rỉ, tràn đổ, phát tán chất thải.","Rò rỉ, tràn đổ, phát tán chất thải"
42,Chương X,"Thiệt hại do ô nhiễm, suy thoái môi trường","Điều 130, Khoản 1","bao gồm: a) Suy giảm chức năng, tính hữu ích của môi trường; b) Thiệt hại về tính mạng, sức khỏe của con người, tài sản và lợi ích hợp pháp của tổ chức, cá nhân do hậu quả của việc suy giảm chức năng, tính hữu ích của môi trường gây ra.","Suy giảm chức năng/tính hữu ích; Thiệt hại về sức khỏe, tài sản"
43,Chương XI,"	
Chi trả dịch vụ hệ sinh thái tự nhiên","Điều 138, Khoản 1","là việc tổ chức, cá nhân sử dụng dịch vụ hệ sinh thái tự nhiên trả tiền cho tổ chức, cá nhân cung ứng giá trị môi trường, cảnh quan do hệ sinh thái tự nhiên tạo ra để bảo vệ, duy trì và phát triển hệ sinh thái tự nhiên.","Sử dụng dịch vụ HSTT trả tiền; Bảo vệ, duy trì và phát triển HSTT"
44,Chương XI,Thị trường các-bon trong nước,"Điều 139, Khoản 1","gồm các hoạt động trao đổi hạn ngạch phát thải khí nhà kính và tín chỉ các-bon thu được từ cơ chế trao đổi, bù trừ tín chỉ các-bon trong nước và quốc tế phù hợp với quy định của pháp luật và điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.","Trao đổi hạn ngạch và tín chỉ các-bon; Cơ chế trao đổi, bù trừ"
45,Chương XI,"	
Kinh tế tuần hoàn","	
Điều 142, Khoản 1","là mô hình kinh tế trong đó các hoạt động thiết kế, sản xuất, tiêu dùng và dịch vụ nhằm giảm khai thác nguyên liệu, vật liệu, kéo dài vòng đời sản phẩm, hạn chế chất thải phát sinh và giảm thiểu tác động xấu đến môi trường.",Giảm khai thác nguyên liệu; Kéo dài vòng đời
46,Chương XI,Công nghiệp môi trường,"Điều 143, Khoản 1","là ngành kinh tế trong hệ thống ngành kinh tế Việt Nam cung cấp công nghệ, thiết bị và sản phẩm phục vụ yêu cầu về bảo vệ môi trường.",Cung cấp công nghệ/thiết bị Bảo vệ môi trường
47,Chương XI,Dịch vụ môi trường,"Điều 144, Khoản 1","là ngành kinh tế cung cấp dịch vụ đo lường, kiểm soát, hạn chế, phòng ngừa và giảm thiểu ô nhiễm môi trường nước, không khí, đất và sử dụng hiệu quả tài nguyên thiên nhiên; xử lý chất thải, các chất ô nhiễm khác; bảo tồn đa dạng sinh học và các dịch vụ khác có liên quan.","Đo lường, kiểm soát, xử lý ô nhiễm
"
48,Chương XI,"	
Sản phẩm, dịch vụ thân thiện môi trường","Điều 145, Khoản 1","là sản phẩm, dịch vụ được tạo ra từ các nguyên liệu, vật liệu, công nghệ sản xuất và quản lý thân thiện môi trường, giảm tác động tiêu cực đến môi trường trong quá trình sử dụng, thải bỏ, bảo đảm an toàn cho môi trường, sức khỏe con người và được cơ quan có thẩm quyền chứng nhận hoặc công nhận.",Thân thiện môi trường; Được chứng nhận/công nhận
49,Chương XI,Nhãn sinh thái Việt Nam,"Điều 145, Khoản 2","là nhãn được cơ quan có thẩm quyền của Việt Nam chứng nhận cho sản phẩm, dịch vụ thân thiện môi trường.","Nhãn chứng nhận thân thiện môi trường
"
50,Chương XI,Mua sắm xanh,"Điều 146, Khoản 1","là việc mua sắm các sản phẩm, dịch vụ thân thiện môi trường được chứng nhận Nhãn sinh thái Việt Nam hoặc được công nhận theo quy định của pháp luật.","Mua sắm sản phẩm/dịch vụ thân thiện môi trường
"
51,Chương XI,Vốn tự nhiên,"Điều 147, Khoản 1","là các nguồn tài nguyên thiên nhiên, gồm đất, nước, rừng, nguồn lợi thủy sản, khoáng sản, nhiên liệu hóa thạch, các nguồn năng lượng tự nhiên và các dịch vụ hệ sinh thái tự nhiên.",Nguồn tài nguyên thiên nhiên; Dịch vụ hệ sinh thái tự nhiên
52,Chương XI,Tín dụng xanh,"Điều 149, Khoản 1","là tín dụng được cấp cho dự án đầu tư sử dụng hiệu quả tài nguyên thiên nhiên; ứng phó với biến đổi khí hậu; quản lý chất thải; xử lý ô nhiễm, cải thiện chất lượng môi trường; phục hồi hệ sinh thái tự nhiên; bảo tồn thiên nhiên và đa dạng sinh học; tạo ra lợi ích khác về môi trường.",Tín dụng cho ứng phó biến đổi khí hậu/quản lý chất thải
53,Chương XI,"	
Trái phiếu xanh","Điều 150, Khoản 1","là trái phiếu do Chính phủ, chính quyền địa phương, doanh nghiệp phát hành theo quy định của pháp luật về trái phiếu để huy động vốn cho hoạt động bảo vệ môi trường, dự án đầu tư mang lại lợi ích về môi trường.",Trái phiếu huy động vốn bảo vệ môi trường
54,Chương XI,"Quỹ Bảo vệ môi trường Việt Nam, quỹ bảo vệ môi trường cấp tỉnh","Điều 151, Khoản 1","là tổ chức tài chính nhà nước, được thành lập ở trung ương, tỉnh, thành phố trực thuộc Trung ương để cho vay ưu đãi, nhận ký quỹ, tài trợ, hỗ trợ, đóng góp tài chính đầu tư cho hoạt động bảo vệ môi trường.","Tổ chức tài chính nhà nước; Cho vay ưu đãi/ký quỹ
"55,Hệ thống quan trắc môi trường,"Bao gồm quan trắc môi trường quốc gia, cấp tỉnh, phục vụ quản lý ngành, tại dự án đầu tư/cơ sở, và quan trắc đa dạng sinh học.","Điều 107, Khoản 1",Hệ thống quan trắc
56,Thông tin về môi trường,"Bao gồm thông tin về chất ô nhiễm, chất thải, kết quả thẩm định/thanh tra, chỉ tiêu thống kê, và di sản thiên nhiên.","Điều 114, Khoản 1",Thông tin môi trường
57,Cơ sở dữ liệu môi trường,"Tập hợp thông tin về môi trường được xây dựng, cập nhật, lưu trữ và quản lý thống nhất từ trung ương đến địa phương.","Điều 115, Khoản 2",Cơ sở dữ liệu
58,Chỉ tiêu thống kê về môi trường,"Một bộ phận của hệ thống chỉ tiêu thống kê Việt Nam, nhằm đo lường, đánh giá hoạt động bảo vệ môi trường.","Điều 117, Khoản 1",Chỉ tiêu thống kê
