STT,Quan hệ ,Khái niệm 1 ,Điều khoản 1 ,Khái niệm 2 ,Điều khoản 2 ,Quan hệ được quy định tại
29,Thành phần thiệt hại,"Thiệt hại do ô nhiễm, suy thoái môi trường","Điều 130, Khoản 1","Suy giảm chức năng, tính hữu ích của môi trường","Điều 130, Khoản 1a","Điều 130, Khoản 1 (Thiệt hại do ô nhiễm, suy thoái MT bao gồm: Suy giảm chức năng, tính hữu ích của môi trường)"
30,Mục đích sử dụng,Chi trả dịch vụ hệ sinh thái tự nhiên,"Điều 138, Khoản 1","Bảo vệ, duy trì và phát triển hệ sinh thái tự nhiên","Điều 138, K. 1; Điều 147, K. 2","Điều 138, Khoản 1 (Sử dụng dịch vụ HSTT trả tiền... để bảo vệ, duy trì và phát triển HSTT)"
31,Cấu thành thị trường,Thị trường các-bon trong nước,"Điều 139, Khoản 1",Hạn ngạch phát thải khí nhà kính / Tín chỉ các-bon,"Điều 3, K. 33; Điều 3, K. 35","Điều 139, Khoản 1 (Thị trường các-bon gồm các hoạt động trao đổi hạn ngạch phát thải KNK và tín chỉ các-bon)"
32,Căn cứ ban hành,Quy chuẩn kỹ thuật môi trường địa phương,"Điều 102, K. 5",Quy chuẩn kỹ thuật môi trường quốc gia,"Điều 102, K. 2","Điều 102, Khoản 5 (QCKTMT địa phương ban hành trong thời hạn tối đa là 02 năm kể từ ngày ban hành QCKTMT quốc gia)"
33,Công cụ tài chính,Tín dụng xanh,"Điều 149, Khoản 1",Ứng phó với biến đổi khí hậu / Quản lý chất thải,"Điều 3, K. 32; Điều 72","Điều 149, Khoản 1 (Tín dụng xanh là tín dụng được cấp cho dự án đầu tư... ứng phó với biến đổi khí hậu; quản lý chất thải)"
34,Công cụ tài chính,Trái phiếu xanh,"Điều 150, Khoản 1",Dự án đầu tư mang lại lợi ích về môi trường,"Điều 150, Khoản 1","Điều 150, Khoản 1 (Trái phiếu xanh... huy động vốn cho... dự án đầu tư mang lại lợi ích về môi trường)"
35,Điều kiện để trở thành,"Sản phẩm, dịch vụ thân thiện môi trường","Điều 145, Khoản 1",Nhãn sinh thái Việt Nam,"Điều 145, Khoản 2","Điều 145, Khoản 2 (Nhãn sinh thái Việt Nam là nhãn được cơ quan thẩm quyền... chứng nhận cho sản phẩm, dịch vụ thân thiện môi trường)"
36,Đối tượng được ưu tiên,Mua sắm xanh,"Điều 146, Khoản 1","Sản phẩm, dịch vụ thân thiện môi trường","Điều 145, Khoản 1","Điều 146, Khoản 1 (Mua sắm xanh là việc mua sắm các sản phẩm, dịch vụ thân thiện môi trường)"
37,Nguồn cung cấp,Công nghiệp môi trường,"Điều 143, Khoản 1","Công nghệ, thiết bị và sản phẩm phục vụ BVMT","Điều 143, K. 1; Điều 145, K. 1","Điều 143, Khoản 1 (Công nghiệp môi trường cung cấp công nghệ, thiết bị và sản phẩm phục vụ yêu cầu về bảo vệ môi trường)"
38,Thành phần cấu tạo,Vốn tự nhiên,"Điều 147, Khoản 1",Dịch vụ hệ sinh thái tự nhiên,"Điều 138, Khoản 2","Điều 147, Khoản 1 (Vốn tự nhiên là các nguồn tài nguyên thiên nhiên... và các dịch vụ hệ sinh thái tự nhiên)"
39,Nơi nhận ký quỹ,Ký quỹ bảo vệ môi trường,"Điều 137, Khoản 1","Quỹ Bảo vệ môi trường Việt Nam, quỹ bảo vệ môi trường cấp tỉnh","Điều 151, Khoản 1","Điều 137, Khoản 4 (Thực hiện ký quỹ tại Quỹ bảo vệ môi trường Việt Nam hoặc quỹ bảo vệ môi trường cấp tỉnh)"
40,Mục đích sử dụng quỹ,"Quỹ Bảo vệ môi trường Việt Nam, quỹ bảo vệ môi trường cấp tỉnh","Điều 151, Khoản 1",Hoạt động bảo vệ môi trường,"Điều 3, K. 2","Điều 151, Khoản 1 (Quỹ BVMT... thành lập... để cho vay ưu đãi, nhận ký quỹ, tài trợ, hỗ trợ, đóng góp tài chính đầu tư cho hoạt động bảo vệ môi trường)"
41,Đối tượng bắt buộc,"Tổ chức/cá nhân sản xuất/nhập khẩu sản phẩm, bao bì có giá trị tái chế","Điều 54, K. 1",Tái chế,"Điều 54, K. 2","Điều 54, Khoản 1 (Tổ chức, cá nhân sản xuất, nhập khẩu sản phẩm, bao bì có giá trị tái chế phải thực hiện tái chế theo tỷ lệ và quy cách tái chế bắt buộc)"
42,Mục đích ứng dụng,Kỹ thuật hiện có tốt nhất,"Điều 3, K. 36","Phòng ngừa, kiểm soát ô nhiễm","Điều 3, K. 22","Điều 3, Khoản 36 (Kỹ thuật hiện có tốt nhất... hiệu quả trong phòng ngừa, kiểm soát ô nhiễm)"
43,Điều kiện hoạt động,Cơ sở xử lý Chất thải nguy hại,"Điều 84, K. 3d",Giấy phép môi trường,"Điều 3, K. 8","Điều 84, Khoản 3d (Cơ sở thực hiện dịch vụ xử lý CTNH phải có giấy phép môi trường)"
44,Được khuyến khích,Đồng xử lý chất thải,"Điều 3, K. 21",Xử lý chất thải rắn sinh hoạt / Xử lý chất thải nguy hại,"Điều 78, K. 1; Điều 84, K. 2","Điều 78, Khoản 1; Điều 84, Khoản 2, (Nhà nước khuyến khích đồng xử lý chất thải rắn sinh hoạt/chất thải nguy hại)"
45,Phạm vi chịu tác động,Di sản thiên nhiên,"Điều 20, K. 1",Đánh giá tác động môi trường (ĐTM),"Điều 3, K. 7","Điều 82, K. 1đ (Nội dung ĐTM... tác động đến đa dạng sinh học, di sản thiên nhiên, di tích lịch sử-văn hóa và yếu tố nhạy cảm khác)"
46,Cơ sở dữ liệu,Thông tin về môi trường,"Điều 114, K. 1","Hệ thống thông tin, cơ sở dữ liệu môi trường","Điều 115, K. 2","Điều 115, Khoản 2a (Cơ sở dữ liệu môi trường là tập hợp thông tin về môi trường được xây dựng, cập nhật...)"
47,Điều kiện áp dụng,Dự án đầu tư công khẩn cấp,"Điều 30, K. 2; Điều 39, K. 3",Giấy phép môi trường,"Điều 3, K. 8","Điều 39, Khoản 3 (Đối tượng thuộc trường hợp dự án đầu tư công khẩn cấp... được miễn giấy phép môi trường)"48,Bao gồm,Hệ thống quan trắc môi trường,"Điều 107, Khoản 1",Quan trắc môi trường quốc gia,"Điều 107, Khoản 1a","Điều 107, Khoản 1"
49,Bao gồm,Hệ thống quan trắc môi trường,"Điều 107, Khoản 1",Quan trắc môi trường cấp tỉnh,"Điều 107, Khoản 1b","Điều 107, Khoản 1"
50,Bao gồm,Thông tin về môi trường,"Điều 114, Khoản 1",Thông tin về chất ô nhiễm/chất thải,"Điều 114, Khoản 1a, 1b","Điều 114, Khoản 1"
51,Tập hợp từ,Cơ sở dữ liệu môi trường,"Điều 115, Khoản 2",Thông tin về môi trường,Điều 114,"Điều 115, Khoản 2"
52,Đo lường,Chỉ tiêu thống kê về môi trường,"Điều 117, Khoản 1",Hoạt động bảo vệ môi trường,"Điều 3, Khoản 2","Điều 117, Khoản 1"
