STT,Cơ quan,Trách nhiệm ,Nội dung ,Điều khoản ,Liên kết khái niệm ,Keyphrase 
11,Bộ Tài nguyên và Môi trường (Bộ TN&MT),Quản lý chất ô nhiễm,"Chủ trì, phối hợp với các Bộ, cơ quan ngang Bộ có liên quan hướng dẫn và tổ chức thực hiện việc quản lý chất ô nhiễm khó phân hủy.","Điều 69, Khoản 2b",Chất ô nhiễm khó phân hủy,Quản lý chất ô nhiễm khó phân hủy
12,Bộ Quốc phòng / Bộ Công an,Trách nhiệm chuyên ngành,"Tổ chức thực hiện pháp luật bảo vệ môi trường trong lĩnh vực quốc phòng/an ninh; xây dựng, tổ chức lực lượng, phương tiện tham gia ứng phó, khắc phục sự cố môi trường.","Điều 167, Khoản 1, 2",Sự cố môi trường,"Lĩnh vực quốc phòng/an ninh, Ứng phó sự cố"
13,"Bộ, cơ quan ngang Bộ",Trách nhiệm phối hợp,"Trong phạm vi nhiệm vụ, quyền hạn, có trách nhiệm phối hợp với Bộ Tài nguyên và Môi trường thực hiện nhiệm vụ quản lý nhà nước về bảo vệ môi trường.","Điều 167, Khoản 3",Quản lý nhà nước,Phối hợp Bộ Tài nguyên và Môi trường (Bộ TN&MT)
14,Ủy ban nhân dân (UBND) cấp tỉnh,Xây dựng quy định và cấp phép,"Xây dựng, ban hành hoặc trình Hội đồng nhân dân cùng cấp ban hành văn bản quy phạm pháp luật; tiêu chuẩn, quy chuẩn kỹ thuật môi trường địa phương; tổ chức thẩm định ĐTM, cấp, cấp đổi, điều chỉnh, cấp lại giấy phép môi trường theo thẩm quyền.","Điều 168, Khoản 1a, 1b",Quy chuẩn kỹ thuật môi trường địa phương,"Ban hành quy chuẩn địa phương, Cấp phép môi trường tỉnh"
15,UBND cấp tỉnh,Trách nhiệm quản lý,"Tổ chức theo dõi, giám sát, cảnh báo, quản lý chất lượng môi trường, và quản lý chất thải trên địa bàn; chịu trách nhiệm trước Chính phủ về việc để xảy ra ô nhiễm môi trường trên địa bàn.","Điều 168, Khoản 1c, 1d",,"Chịu trách nhiệm ô nhiễm, Giám sát chất lượng môi trường"
16,UBND cấp tỉnh,Quản lý chất thải sinh hoạt,"Quy định chi tiết về quản lý chất thải rắn sinh hoạt của hộ gia đình, cá nhân; quy định giá cụ thể đối với dịch vụ thu gom, vận chuyển và xử lý chất thải rắn sinh hoạt.","Điều 79, Khoản 6",Chất thải rắn sinh hoạt (Điều 75),"Quy định giá rác, Quản lý chất thải rắn sinh hoạt"
17,UBND cấp tỉnh,Bảo vệ môi trường đất,"Xử lý khu vực ô nhiễm môi trường đất, khu vực ô nhiễm nghiêm trọng thuộc trường hợp ô nhiễm do lịch sử để lại hoặc không xác định được tổ chức, cá nhân gây ô nhiễm.","Điều 19, Khoản 3b",Ô nhiễm môi trường đất,"Xử lý ô nhiễm đất nghiêm trọng, Ô nhiễm đất lịch sử"
18,UBND cấp tỉnh,Tài chính,Trình Hội đồng nhân dân cùng cấp bố trí kinh phí để thực hiện nhiệm vụ bảo vệ môi trường theo phân cấp ngân sách hiện hành.,"Điều 168, Khoản 1i",,Bố trí kinh phí bảo vệ môi trường
19,UBND cấp tỉnh,Quản lý cụm công nghiệp,Ban hành lộ trình di dời dân cư sinh sống (nếu có) ra khỏi cụm công nghiệp; Chỉ đạo cơ quan chuyên môn thực hiện quy định của pháp luật về bảo vệ môi trường đối với cụm công nghiệp.,"Điều 52, Khoản 6c","Cụm công nghiệp (Điều 52), Khu dân cư","Lộ trình di dời dân cư, Quản lý cụm công nghiệp"
20,UBND cấp huyện,Cấp phép và Kiểm tra/Thanh tra,"Cấp, cấp đổi, điều chỉnh, cấp lại, thu hồi giấy phép môi trường theo thẩm quyền; tổ chức kiểm tra, thanh tra về bảo vệ môi trường trên địa bàn.","Điều 168, Khoản 2b, 2e",Giấy phép môi trường,"Cấp phép môi trường huyện, Thanh tra môi trường"
21,UBND cấp huyện,Trách nhiệm đối với ô nhiễm,Chịu trách nhiệm trước Ủy ban nhân dân cấp tỉnh về việc để xảy ra ô nhiễm môi trường trên địa bàn.,"Điều 168, Khoản 2c",Ô nhiễm môi trường,Chịu trách nhiệm ô nhiễm huyện
22,UBND cấp xã,Tiếp nhận và Kiểm tra,"Chỉ đạo, hướng dẫn, kiểm tra và tổ chức thực hiện kiểm soát nguồn ô nhiễm; tiếp nhận đăng ký môi trường.","Điều 168, Khoản 3b",Đăng ký môi trường,"Tiếp nhận đăng ký môi trường, Kiểm soát nguồn ô nhiễm"
23,UBND cấp xã,Trách nhiệm đối với ô nhiễm,Chịu trách nhiệm trước Ủy ban nhân dân cấp huyện về việc để xảy ra ô nhiễm môi trường trên địa bàn.,"Điều 168, Khoản 3b",Ô nhiễm môi trường,Chịu trách nhiệm ô nhiễm xã
24,UBND cấp xã,Phân loại rác,"Kiểm tra việc tuân thủ quy định của pháp luật về bảo vệ môi trường trong việc thu gom, vận chuyển chất thải rắn sinh hoạt; hướng dẫn hộ gia đình, cá nhân chuyển giao chất thải.","Điều 77, Khoản 7a, 7c",Chất thải rắn sinh hoạt,"Kiểm tra thu gom rác, Xử lý vi phạm chất thải rắn sinh hoạt"
25,UBND cấp xã,Giáo dục cộng đồng,"Vận động người dân tham gia giữ gìn vệ sinh, bảo vệ môi trường; hướng dẫn cộng đồng dân cư trên địa bàn đưa nội dung bảo vệ môi trường vào hương ước, quy ước, xây dựng nông thôn mới, gia đình văn hóa.","Điều 168, Khoản 3d",Cộng đồng dân cư,"Vận động bảo vệ môi trường, Hương ước quy ước"
26,Bộ Tài nguyên và Môi trường,Quy định bảo vệ nước dưới đất,Quy định chi tiết việc bảo vệ môi trường nước dưới đất.,"Điều 10, Khoản 7",Bảo vệ môi trường nước dưới đất (Điều 10),Quy định nước dưới đất
27,UBND cấp tỉnh,Bảo vệ nước dưới đất,Có trách nhiệm bảo vệ môi trường nước dưới đất trên địa bàn theo quy định của pháp luật.,"Điều 10, Khoản 8",Bảo vệ môi trường nước dưới đất (Điều 10),Trách nhiệm bảo vệ nước dưới đất
28,Thủ tướng Chính phủ,Kế hoạch không khí quốc gia,Ban hành và chỉ đạo thực hiện Kế hoạch quốc gia về quản lý chất lượng môi trường không khí; chỉ đạo biện pháp khẩn cấp khi ô nhiễm nghiêm trọng.,"Điều 14, Khoản 1",Kế hoạch quản lý chất lượng môi trường không khí (Điều 13),"Ban hành kế hoạch không khí, Chỉ đạo khẩn cấp"
29,Bộ Tài nguyên và Môi trường,Quản lý không khí,"Xây dựng, trình Thủ tướng ban hành Kế hoạch quốc gia về quản lý chất lượng không khí; hướng dẫn xây dựng kế hoạch cấp tỉnh.","Điều 14, Khoản 2",Kế hoạch quản lý chất lượng môi trường không khí (Điều 13),"Xây dựng kế hoạch không khí, Hướng dẫn cấp tỉnh"
30,UBND cấp tỉnh,Quản lý không khí địa phương,"Ban hành, tổ chức thực hiện kế hoạch quản lý không khí cấp tỉnh; đánh giá, theo dõi, công khai thông tin chất lượng không khí; cảnh báo và xử lý ô nhiễm.","Điều 14, Khoản 3",Kế hoạch quản lý chất lượng môi trường không khí (Điều 13),"Kế hoạch không khí tỉnh, Cảnh báo ô nhiễm không khí"
31,Bộ Tài nguyên và Môi trường,Xử lý ô nhiễm đất,"Quy định tiêu chí khu vực ô nhiễm đất; chủ trì, phối hợp xử lý ô nhiễm đất đặc biệt nghiêm trọng; công khai thông tin chất lượng đất.","Điều 19, Khoản 1","Bảo vệ môi trường đất (Điều 15), Khu vực ô nhiễm đất (Điều 16)","Tiêu chí ô nhiễm đất, Xử lý ô nhiễm nghiêm trọng"
32,Bộ Quốc phòng / Bộ Công an,Xử lý đất quốc phòng/an ninh,"Chủ trì, phối hợp với UBND cấp tỉnh xử lý, cải tạo, phục hồi khu vực ô nhiễm đất quốc phòng, đất an ninh.","Điều 19, Khoản 2",Bảo vệ môi trường đất (Điều 15),"Xử lý đất quốc phòng, Đất an ninh"
33,UBND cấp tỉnh,Điều tra ô nhiễm đất,"Điều tra, đánh giá, khoanh vùng khu vực nguy cơ ô nhiễm đất; xử lý khu vực ô nhiễm đất nghiêm trọng; báo cáo Bộ TNMT.","Điều 19, Khoản 3",Bảo vệ môi trường đất (Điều 15),"Điều tra đất ô nhiễm, Khoanh vùng ô nhiễm"
34,Bộ Tài nguyên và Môi trường,Thẩm định báo cáo đánh giá tác động môi trường,Tổ chức thẩm định báo cáo đánh giá tác động môi trường đối với dự án nhóm I và một số dự án nhóm II thuộc thẩm quyền hoặc nằm trên 2 tỉnh/vùng biển.,"Điều 35, Khoản 1",Đánh giá tác động môi trường (ĐTM) (Điều 30),Thẩm quyền thẩm định đánh giá tác động môi trường
35,UBND cấp tỉnh,Thẩm định đánh giá tác động môi trường địa phương,"Tổ chức thẩm định báo cáo đánh giá tác động môi trường đối với dự án đầu tư trên địa bàn, trừ đối tượng thuộc thẩm quyền của Bộ TNMT/QP/CA.","Điều 35, Khoản 3",Đánh giá tác động môi trường (ĐTM) (Điều 30),Thẩm định đánh giá tác động môi trường tỉnh
36,Cơ quan thẩm định đánh giá tác động môi trường,Trách nhiệm thẩm định,Chịu trách nhiệm về kết quả thẩm định; công khai quyết định phê duyệt (trừ bí mật); xây dựng cơ sở dữ liệu về đánh giá tác động môi trường.,Điều 38,Đánh giá tác động môi trường (ĐTM) (Điều 30),"Trách nhiệm thẩm định, Công khai đánh giá tác động môi trường"
37,UBND cấp huyện,Cấp giấy phép môi trường,"Cấp giấy phép môi trường đối với đối tượng quy định tại Điều 39, trừ trường hợp thuộc thẩm quyền của Bộ và UBND Tỉnh.","Điều 41, Khoản 4",Giấy phép môi trường (Điều 39),Cấp giấy phép môi trường huyện
38,Cơ quan cấp giấy phép môi trường,Trách nhiệm cấp phép,"Tiếp nhận, kiểm tra, thẩm định, cấp giấy phép; công khai giấy phép; kiểm tra việc thực hiện; vận hành cơ sở dữ liệu giấy phép.",Điều 48,Giấy phép môi trường (Điều 39),"Trách nhiệm cấp phép, Công khai giấy phép"
39,Ủy ban nhân dân các cấp,Quản lý điểm tập kết rác,"Bố trí mặt bằng điểm tập kết, trạm trung chuyển chất thải rắn sinh hoạt đáp ứng yêu cầu kỹ thuật về bảo vệ môi trường.","Điều 76, Khoản 2",Quản lý chất thải rắn sinh hoạt,Bố trí điểm tập kết rác
40,Ủy ban nhân dân cấp tỉnh,Đầu tư hệ thống xử lý nước thải,"Đầu tư, khuyến khích đầu tư xây dựng hệ thống thu gom, xử lý nước thải đô thị; ban hành lộ trình bố trí quỹ đất và hỗ trợ đầu tư.","Điều 86, Khoản 5",Quản lý nước thải,Đầu tư xử lý nước thải đô thị
41,Bộ Tài nguyên và Môi trường,Báo cáo quốc gia ứng phó biến đổi khí hậu,Định kỳ 05 năm một lần xây dựng Báo cáo quốc gia ứng phó với biến đổi khí hậu trình Chính phủ để báo cáo Quốc hội.,"Điều 95, Khoản 3",Ứng phó biến đổi khí hậu,Báo cáo quốc gia biến đổi khí hậu
42,Ủy ban nhân dân cấp tỉnh,Báo cáo ứng phó biến đổi khí hậu,Định kỳ hằng năm lập báo cáo về ứng phó với biến đổi khí hậu thuộc phạm vi quản lý gửi Bộ Tài nguyên và Môi trường.,"Điều 95, Khoản 2",Ứng phó biến đổi khí hậu,Báo cáo ứng phó khí hậu tỉnh
43,Bộ Tài nguyên và Môi trường,Thực hiện cam kết quốc tế,Là đầu mối tổ chức thực hiện cam kết quốc tế về biến đổi khí hậu và bảo vệ tầng ô-dôn; xây dựng báo cáo quốc gia.,"Điều 96, Khoản 1",Hợp tác quốc tế môi trường,Đầu mối cam kết quốc tế
44,Bộ Tài nguyên và Môi trường,Tiêu chuẩn môi trường,Tổ chức xây dựng và đề nghị thẩm định tiêu chuẩn quốc gia về môi trường; ban hành quy chuẩn kỹ thuật.,"Điều 104, Khoản 2",Xây dựng tiêu chuẩn môi trường,Tiêu chuẩn quốc gia môi trường
45,Bộ Tài nguyên và Môi trường,Quan trắc môi trường,"Chỉ đạo, hướng dẫn, kiểm tra hoạt động quan trắc trên phạm vi cả nước; tổ chức chương trình quan trắc quốc gia.","Điều 109, Khoản 1",Quản lý quan trắc môi trường,Chương trình quan trắc quốc gia
46,Ủy ban nhân dân cấp tỉnh,Quan trắc môi trường,Tổ chức thực hiện chương trình quan trắc môi trường trên địa bàn; báo cáo HĐND và Bộ TN&MT.,"Điều 109, Khoản 6",Quan trắc môi trường địa phương,Báo cáo quan trắc tỉnh
47,Bộ Tài nguyên và Môi trường,Quản lý số liệu,Quản lý số liệu quan trắc môi trường quốc gia; xây dựng cơ sở dữ liệu môi trường quốc gia.,"Điều 113, Khoản 1",Cơ sở dữ liệu môi trường,Dữ liệu quan trắc quốc gia
48,Ủy ban nhân dân các cấp,Thông tin môi trường,"Thu nhận, lưu trữ, quản lý và công khai thông tin về môi trường trên địa bàn.","Điều 114, Khoản 2",Quản lý thông tin môi trường,Lưu trữ thông tin môi trường
49,Ủy ban nhân dân cấp huyện,Báo cáo môi trường,Báo cáo công tác bảo vệ môi trường của năm trước đó gửi HĐND cùng cấp và UBND cấp tỉnh trước ngày 31/01.,"Điều 118, Khoản 1",Báo cáo công tác BVMT,Báo cáo môi trường huyện
